[DB Xenoverse 2]
Easy | Parallel Quest: Clear 3 low-tier Parallel Quests to stock up on items.
Easy | Mentor Session: Complete a training milestone lesson with your current Instructor.
Easy | Fashion Patrol: Customize a new preset outfit and skill loadout for your Time Patroller.
Easy | Hero Colosseum: Play 2 figure battles inside the capsule mini-game area.
Easy | Conton Tour: Fly around Conton City and locate 3 hidden rift rewards or items.
Easy | Parallel Quest Grind: Complete 3 high-tier Parallel Quests with an Ultimate Finish rating while using a customized Earthling or Saiyan.
Easy | Combo King: Land a continuous, uninterrupted basic strike or ki blast combo string that surpasses 50 total hits.
Easy | Master Training: Re-verify your master training by completing an expert challenge mentor spar without items.
Hard | Raid Boss: Win a high-tier Parallel Quest using only Mentor/Instructor skills.
Hard | Expert Mission: Successfully clear a high-difficulty Expert Mission rift.
Hard | Supreme Victory: Achieve a Z-Rank score rating on a Level 5 or higher quest.
Hard | Awoken Might: Win 3 matches where you maintain an Awoken Form transformation the entire time.
Hard | Limit Break: Defeat an online opponent or hard AI without using any capsule heals.
Hard | Expert Mission Overlord: Successfully complete an Expert Mission (Raid Boss style) solo with AI teammates without letting anyone get brainwashed.
Hard | Ki Blast Barrage: Finish an online or high-level parallel match using *only* super/ultimate attacks for your final damage phases.
Hard | Z-Rank Supremacy: Achieve an absolute Z-Rank on 3 separate high-level missions back-to-back.

[Doom Eternal]
Easy | Arcade Mode: Run through a favorite campaign level with infinite ammo cheats active.
Easy | Slayer Gate: Locate and conquer a single Slayer Gate challenge.
Easy | Weapon Mastery: Focus on unlocking or testing a specific weapon mod mastery tracking.
Easy | Secret Finder: Collect 3 hidden toys, cheat codes, or albums in a level.
Easy | Weekly Challenge: Complete 2 goals from the live main menu tracker.
Easy | Gun Smith: Clear a full combat arena using only weapon mods you haven't activated yet tonight.
Easy | Blood Fueled: Execute 5 Glory Kills within a single 30-second window to sustain maximum speed.
Easy | Treasure Hunter: Replay a mission and uncover 3 hidden secrets or collectibles without using a map guide.
Easy | Parkour Power: Complete an entire platforming or climbing puzzle section without falling into a hazard pit once.
